Open,High,Low,Close
1.06908,1.07092,1.06508,1.066
1.06644,1.06836,1.05196,1.05488
1.05444,1.06353,1.05409,1.06041
1.0603,1.06314,1.05151,1.05217
1.05224,1.06481,1.04825,1.06437
1.06399,1.07606,1.06371,1.07326
1.07278,1.07594,1.0712,1.07343
1.07329,1.07764,1.07254,1.07565
1.07574,1.08669,1.07275,1.08511
1.08405,1.0868,1.07804,1.0833
1.08308,1.08742,1.08016,1.08223
1.08216,1.08694,1.07748,1.07883
1.07882,1.08876,1.07662,1.07944
1.07929,1.084,1.07825,1.0831
1.08306,1.0859,1.08024,1.08562
1.08681,1.09268,1.08462,1.08714
1.0871,1.0898,1.08352,1.08882
1.0885,1.09236,1.08572,1.09152
1.09149,1.09296,1.08507,1.08912
1.08923,1.09004,1.08379,1.08688
1.08623,1.09138,1.08393,1.08519
1.08464,1.0875,1.08022,1.08621
1.08605,1.10006,1.08524,1.09901
1.09882,1.10329,1.08854,1.09108
1.09091,1.09401,1.07926,1.0794
1.07824,1.0799,1.07095,1.07257
1.0725500000000001,1.07664,1.06692,1.07278
1.0723,1.07609,1.07094,1.07141
1.071,1.07907,1.07069,1.07386
1.07344,1.07527,1.06664,1.06772
1.06807,1.073,1.06556,1.07252
1.07178,1.08041,1.07068,1.07359
1.07355,1.07445,1.06606,1.06869
1.0686,1.07226,1.06546,1.06728
1.06705,1.06984,1.06128,1.06937
1.06851,1.07047,1.06704,1.06848
1.06855,1.06983,1.06376,1.06461
1.06421,1.06642,1.05992,1.06049
1.06032,1.06278,1.05772,1.05943
1.05944,1.06143,1.05362,1.05458
1.05429,1.06198,1.05329,1.06088
1.06093,1.06453,1.05739,1.05755
1.0575,1.06914,1.05653,1.0669
1.06653,1.06729,1.05766,1.05971
1.05954,1.06387,1.05884,1.06341
1.06239,1.06944,1.06211,1.06828
1.0679400000000001,1.06947,1.05461,1.05493
1.0549,1.05738,1.05243,1.05438
1.05439,1.05913,1.05375,1.05823
1.05778,1.07006,1.0574,1.06395
1.0681,1.07486,1.06504,1.0731600000000001
1.07304,1.07496,1.06789,1.07332
1.07326,1.07599,1.05162,1.05758
1.05769,1.06356,1.05511,1.06138
1.06082,1.06854,1.06047,1.06647
1.06884,1.07308,1.06313,1.07237
1.07181,1.07884,1.0704,1.07698
1.07662,1.09124,1.07591,1.08551
1.08555,1.093,1.08243,1.08327
1.08273,1.0838700000000001,1.07132,1.07587
1.0775,1.08,1.0745,1.07987
1.0796000000000001,1.08486,1.07939,1.0846
1.08424,1.08713,1.08178,1.08445
1.08433,1.09263,1.08236,1.09056
1.09056,1.0925799999999999,1.08369,1.08415
1.08397,1.09168,1.07882,1.09027
1.08965,1.09733,1.08828,1.09559
1.09466,1.09696,1.08912,1.09073
1.09019,1.09376,1.08846,1.09205
1.092,1.09241,1.08767,1.08986
1.08974,1.09174,1.08313,1.08605
1.08577,1.09281,1.08532,1.09131
1.0909,1.10002,1.0909,1.09915
1.09917,1.10677,1.09769,1.1047
1.10462,1.10759,1.09724,1.09942
1.09887,1.09998,1.0909200000000001,1.09275
1.09216,1.0983,1.09215,1.0973600000000001
1.09714,1.0984099999999999,1.09174,1.0956
1.09539,1.09898,1.09335,1.09706
1.09654,1.09938,1.09381,1.09894
1.09912,1.1050200000000001,1.0966,1.10463
1.10452,1.10672,1.09642,1.09739
1.09715,1.10954,1.09664,1.1039
1.10399,1.10635,1.09922,1.10289
1.10264,1.10451,1.09625,1.10165
1.10222,1.10356,1.09643,1.09764
1.09718,1.1008,1.0942,1.09992
1.09972,1.1091199999999999,1.09966,1.10623
1.10591,1.10917,1.09863,1.10122
1.1007500000000001,1.10478,1.09668,1.10185
1.10204,1.10537,1.10002,1.1004
1.10038,1.1005,1.09412,1.09615
1.096,1.1007,1.09415,1.09824
1.09805,1.09981,1.09002,1.09157
1.09154,1.09356,1.0848,1.08496
1.08562,1.0890900000000001,1.08456,1.08745
